번호,서명,저자,발행자,발행년,청구기호,자료실
1774,콜리플라워,에린 헌터 지음 ; 서현정 옮김,가람어린이,2024,아동 843-1289-5-3,[해운대인문학]어린이자료실
1775,퀸의 대각선. 2,에린 헌터 지음 ; 서현정 옮김,가람어린이,2024,아동 843-1289-5-4=2,[해운대인문학]어린이자료실
1776,타샤 튜더 나의 정원,웃소 원작 ; 유경원 지음 ; 차현진 그림,서울문화사,2024,아동 714-37-2=2,[해운대인문학]어린이자료실
1777,파쿠르는 처음이라,주봄 지음 ; 한승무 그림,비룡소,2023,아동 813.8-3086-4,[해운대인문학]어린이자료실
1778,페이스,스테파니 베르네 지음 ; 카미유 드 퀴삭 그림 ; 이정주 옮김,우리학교,2024,아동 010-3,[해운대인문학]어린이자료실
1779,편지 가게 글월,김선아 지음 ; 박지윤 그림,별숲,2024,아동 813.8-3835,[해운대인문학]어린이자료실
1780,풀베개,고희정 지음 ; 조승연 그림,가나,2024,아동 510-7-19,[해운대인문학]어린이자료실
1781,프란츠 카프카 : 알려진 혹은 비밀스러운,고희정 지음 ; 조승연 그림,가나,2024,아동 510-7-20=2,[해운대인문학]어린이자료실
1782,프리즈너,진형민 지음 ; 이윤희 그림,창비,2024,아동 808.3-3-339=2,[해운대인문학]어린이자료실
1783,피아노 조율사,곽영미 지음 ; 해랑 그림,책읽는곰,2024,아동 813.8-3824=2,[해운대인문학]어린이자료실
1784,하마터면 열심히 살 뻔 했다 : 나만의 속도로 살아갈 결심,김자연 지음,진포,2024,아동 813.8-3836,[해운대인문학]어린이자료실
1785,하이라이프,크레이그 실비 지음 ; 고정아 옮김,미세기,2024,아동 843-1040,[해운대인문학]어린이자료실
1786,하이햇은 금빛 경사로,임근희 지음 ; 김미연 그림,잇츠북어린이,2024,아동 808.3-648-42,[해운대인문학]어린이자료실
1787,한 달에 10만원 도시락 만들기,송인섭 외 지음 ; 민정원 그림,야옹서가,2024,아동 813.8-3827=2,[해운대인문학]어린이자료실
1788,한 사람의 노래가 온 거리에 노래를,"긱블 원작·감수,박송이 지음 ; 팀키즈 그림",아이세움,2024,아동 508-4-3=2,[해운대인문학]어린이자료실
1789,한 줄 카피,김진형 지음 ; 홍그림 그림,소원나무,2024,아동 813.8-3837,[해운대인문학]어린이자료실
1790,허송세월,류미정 지음 ; 조경옥 그림,봄마중,2024,아동 813.8-3838,[해운대인문학]어린이자료실
1791,허투루 읽지 않으려고,카시 르코크 지음 ; 상드라 소이네 그림 ; 김수진 옮김,그린북,2024,유아 863-630,[해운대인문학]유아자료실
1792,호모 콰트로스 : 내전편,종종 지음,그린북,2024,유아 813.8-3130,[해운대인문학]유아자료실
1793,169층 나무 집,박효연 지음 ; 서영아 그림,파랑서재,2024,아동 813.8-3839,[해운대인문학]어린이자료실
1794,"Go Go 카카오프렌즈. 32, 아르헨티나","김성화,권수진 지음 ; 백두리 그림",와이즈만북스,2024,아동 410-197-9,[해운대인문학]어린이자료실
1795,가느다란 마법사와 진짜 못해 강아지,이향안 지음 ; 김현영 그림,판퍼블리싱,2024,아동 813.8-3840,[해운대인문학]어린이자료실
1796,가면 수집가. 상권,세라 에버렛 지음 ; 이민희 옮김,다산어린이,2024,아동 843-1038=2,[해운대인문학]어린이자료실
1797,겁이 많아도 너무 많은 귀신 몽보,나관중 원작 ; 단꿈아이 지음 ; 스튜디오 담 만화,단꿈아이,2024,아동 823.5-10-19=2,[해운대인문학]어린이자료실
1798,"귀신 감독 탁풍운. 3, 진짜와 가짜",김경구 지음 ; 장인옥 그림,가문비어린이,2024,아동 813.8-3841,[해운대인문학]어린이자료실
1799,그래서 이런 속담이 생겼대요,스벤 누르드크비스트 지음 ; 김서정 옮김,그린애플,2024,아동 859.7-56,[해운대인문학]어린이자료실
1800,글 잘 쓰는 법,클라이브 기포드 지음 ; 테오 게오르기에프 그림 ; 권루시안 옮김,진선아이,2024,아동 448-2,[해운대인문학]어린이자료실
1801,길모퉁이 구름김밥집,이선영 지음,라플란타,2024,유아 813.8-3131,[해운대인문학]유아자료실
1802,꼴찌 가족,고희정 지음 ; 최미란 그림,가나,2024,아동 360-30-3,[해운대인문학]어린이자료실
1803,나는 오늘도 버섯을 관찰합니다,박설연 지음 ; 김덕영 그림,아울북,2024,아동 813.8-7-21=2,[해운대인문학]어린이자료실
1804,"내일은 발명왕. 41, 업그레이드 더하기 발명",해리엇 먼캐스터 지음 ; 심연희 옮김,을파소,2024,아동 843-649-7,[해운대인문학]어린이자료실
1805,"놓지 마 맞춤법. 3, 공포의 여덟 고개",홍민정 지음 ; 김무연 그림,다산어린이,2024,아동 813.8-2762-7=2,[해운대인문학]어린이자료실
